"Day","Cash On Hand"
11,544938
12,544968
13,450621
14,585782
15,241974
16,1375649
17,620324
18,563875
19,423881
20,215996
21,201002
22,374027
23,155856
24,256240
25,365415
26,185366
27,177588
28,630286
29,435788
30,218077
31,425733
32,406689
33,582843
34,431312
35,582989
36,403409
37,375120
38,865768
39,864667
40,1012251
41,111395
42,121974
43,427710
44,84686
45,113086
46,331679
47,545678
48,583586
49,265546
50,181373
51,1186412
52,2072374
53,2843293
54,3460867
55,3067467
56,3586275
57,3730051
58,3327642
59,3789956
60,3713160
61,3368169
62,3857622
63,3461058
64,3259123
65,4549429
66,5517627
67,5572203
68,4867077
69,1390869
70,4182619
71,5166996
72,6262830
73,7789240
74,7934350
75,7692114
76,8704871
77,6909101
78,8276488
79,7754270
80,8753664
81,9470861
82,6087179
83,6580408
84,4278876
85,4566008
86,8006228
87,5170431
88,394083
89,635813
90,520899
