"Day","Sales","Trading Profit","Operating Expense","Net Profit"
11,4468037,-1661989,1167355,-2825748
12,5964685,-939310,1269172,-2204886
13,6292529,-1427726,1372763,-2796893
14,6462946,-1357457,1408019,-2761880
15,6771554,-1112890,1435435,-2545757
16,9782987,1832189,1501513,330676
17,10073960,2057813,1531411,526402
18,10306320,2200092,1560420,640699
19,11191401,2020738,3522995,-1499689
20,12574846,1781279,3604082,-1821262
21,12755441,1900023,3632921,-1730073
22,12936429,2018599,3680515,-1657806
23,13095032,2061762,3711109,-1645237
24,13243210,584859,3758903,-3169934
25,15285304,2561343,3791442,-1228044
26,16572025,3776713,4645082,-864516
27,16743250,3597381,4679910,-1078548
28,17228644,4016854,4712606,-691771
29,17558966,4273303,4901426,-624142
30,17760206,2877247,5320377,-2439149
31,18628402,3670928,5355917,-1682035
32,18837634,3806909,5388538,-1578097
33,20047315,4352825,5577256,-1221638
34,21449611,5372088,5607083,-234257
35,23591673,6722441,5874226,848215
36,23781013,6358918,6151686,208259
37,24684142,5936267,6906704,-969410
38,26253609,7427056,6983273,443783
39,26506922,7426511,7125687,300824
40,26689614,7547200,7160795,386405
41,26874613,7675346,7191650,484723
42,27632538,8374725,7313996,1060729
43,27872778,8193281,7349786,846577
44,28521261,8139191,7758389,383627
45,29861807,9298205,7820535,1478441
46,30135498,9472516,7861312,1612617
47,30400292,9662834,7912107,1752140
48,31378279,10565594,7992811,2572783
49,31658140,10772820,8028212,2744608
50,31913541,9459087,8852786,608356
51,34238721,11710861,8922927,2787934
52,35158693,12380143,8956937,3423206
53,35960322,12946878,8987647,3959231
54,36878826,13601757,9022357,4579400
55,37116154,13402680,9279865,4122815
56,37683204,13873547,9328107,4545440
57,37863988,13963736,9365115,4598621
58,38099544,13657018,9635660,4021358
59,39054393,14190158,10128195,4061963
60,40199144,14897004,10160742,4736262
61,40451065,14848248,10357654,4490594
62,40975037,15302685,10392173,4910512
63,41210029,15211574,10588729,4622845
64,41780593,15189183,10919228,4269955
65,43634559,15855178,11482888,4372290
66,44810841,16594679,11690972,4903707
67,45417712,16180616,12243267,3937349
68,46821301,17476433,12279600,5196833
69,47155064,15808242,13448419,2359823
70,51077401,19306107,13485486,5820621
71,52590216,20386562,13521834,6864728
72,54137915,20645593,13973699,6671894
73,56350020,22771555,14291954,8479601
74,56604271,22854585,14401095,8453490
75,57011624,22997570,14819594,8177976
76,58059722,23957484,14854935,9102549
77,58299286,22518869,15662444,6856425
78,59856066,23751134,15851837,7899297
79,60409241,23113528,16591030,6522498
80,62042517,24174006,16853912,7320094
81,62797231,24804590,16891429,7913161
82,63114190,24574646,17288746,7285900
83,64130677,24640595,17812004,6828591
84,67479741,26686203,19085123,7601080
85,69633120,26059115,20951370,5107745
86,73110595,29458948,20988625,8470323
87,73372932,29645281,21027544,8617737
88,73616175,26367990,25346655,1023390
89,75156185,24544426,25394935,-850509
90,75377605,24185096,25731269,-1546173
