[HIGHEST OVERHEAD] SHIPPING EXPENSE: 81.13%
[CASH DEFICIT] DAY: 13, AMOUNT: SGD94347
[CASH DEFICIT] DAY: 15, AMOUNT: SGD343808
[CASH DEFICIT] DAY: 17, AMOUNT: SGD755325
[CASH DEFICIT] DAY: 18, AMOUNT: SGD56449
[CASH DEFICIT] DAY: 19, AMOUNT: SGD139994
[CASH DEFICIT] DAY: 20, AMOUNT: SGD207885
[CASH DEFICIT] DAY: 21, AMOUNT: SGD14994
[CASH DEFICIT] DAY: 23, AMOUNT: SGD218171
[CASH DEFICIT] DAY: 26, AMOUNT: SGD180049
[CASH DEFICIT] DAY: 27, AMOUNT: SGD7778
[CASH DEFICIT] DAY: 29, AMOUNT: SGD194498
[CASH DEFICIT] DAY: 30, AMOUNT: SGD217711
[CASH DEFICIT] DAY: 32, AMOUNT: SGD19044
[CASH DEFICIT] DAY: 34, AMOUNT: SGD151531
[CASH DEFICIT] DAY: 36, AMOUNT: SGD179580
[CASH DEFICIT] DAY: 37, AMOUNT: SGD28289
[CASH DEFICIT] DAY: 39, AMOUNT: SGD1101
[CASH DEFICIT] DAY: 41, AMOUNT: SGD900856
[CASH DEFICIT] DAY: 44, AMOUNT: SGD343024
[CASH DEFICIT] DAY: 49, AMOUNT: SGD318040
[CASH DEFICIT] DAY: 50, AMOUNT: SGD84173
[CASH DEFICIT] DAY: 55, AMOUNT: SGD393400
[CASH DEFICIT] DAY: 58, AMOUNT: SGD402409
[CASH DEFICIT] DAY: 60, AMOUNT: SGD76796
[CASH DEFICIT] DAY: 61, AMOUNT: SGD344991
[CASH DEFICIT] DAY: 63, AMOUNT: SGD396564
[CASH DEFICIT] DAY: 64, AMOUNT: SGD201935
[CASH DEFICIT] DAY: 68, AMOUNT: SGD705126
[CASH DEFICIT] DAY: 69, AMOUNT: SGD3476208
[CASH DEFICIT] DAY: 75, AMOUNT: SGD242236
[CASH DEFICIT] DAY: 77, AMOUNT: SGD1795770
[CASH DEFICIT] DAY: 79, AMOUNT: SGD522218
[CASH DEFICIT] DAY: 82, AMOUNT: SGD3383682
[CASH DEFICIT] DAY: 84, AMOUNT: SGD2301532
[CASH DEFICIT] DAY: 87, AMOUNT: SGD2835797
[CASH DEFICIT] DAY: 88, AMOUNT: SGD4776348
[CASH DEFICIT] DAY: 90, AMOUNT: SGD114914
[HIGHEST CASH DEFICIT] DAY: 88, AMOUNT: SGD4776348
[2ND HIGHEST CASH DEFICIT] DAY: 69, AMOUNT: SGD3476208
[3RD HIGHEST CASH DEFICIT] DAY: 82, AMOUNT: SGD3383682
[NET PROFIT DEFICIT] DAY: 13, AMOUNT: SGD592007
[NET PROFIT DEFICIT] DAY: 19, AMOUNT: SGD2140388
[NET PROFIT DEFICIT] DAY: 20, AMOUNT: SGD321573
[NET PROFIT DEFICIT] DAY: 24, AMOUNT: SGD1524697
[NET PROFIT DEFICIT] DAY: 27, AMOUNT: SGD214032
[NET PROFIT DEFICIT] DAY: 30, AMOUNT: SGD1815007
[NET PROFIT DEFICIT] DAY: 36, AMOUNT: SGD639956
[NET PROFIT DEFICIT] DAY: 37, AMOUNT: SGD1177669
[NET PROFIT DEFICIT] DAY: 39, AMOUNT: SGD142959
[NET PROFIT DEFICIT] DAY: 43, AMOUNT: SGD214152
[NET PROFIT DEFICIT] DAY: 44, AMOUNT: SGD462950
[NET PROFIT DEFICIT] DAY: 50, AMOUNT: SGD2136252
[NET PROFIT DEFICIT] DAY: 55, AMOUNT: SGD456585
[NET PROFIT DEFICIT] DAY: 58, AMOUNT: SGD577263
[NET PROFIT DEFICIT] DAY: 61, AMOUNT: SGD245668
[NET PROFIT DEFICIT] DAY: 63, AMOUNT: SGD287667
[NET PROFIT DEFICIT] DAY: 64, AMOUNT: SGD352890
[NET PROFIT DEFICIT] DAY: 67, AMOUNT: SGD966358
[NET PROFIT DEFICIT] DAY: 69, AMOUNT: SGD2837010
[NET PROFIT DEFICIT] DAY: 72, AMOUNT: SGD192834
[NET PROFIT DEFICIT] DAY: 74, AMOUNT: SGD26111
[NET PROFIT DEFICIT] DAY: 75, AMOUNT: SGD275514
[NET PROFIT DEFICIT] DAY: 77, AMOUNT: SGD2246124
[NET PROFIT DEFICIT] DAY: 79, AMOUNT: SGD1376799
[NET PROFIT DEFICIT] DAY: 82, AMOUNT: SGD627261
[NET PROFIT DEFICIT] DAY: 83, AMOUNT: SGD457309
[NET PROFIT DEFICIT] DAY: 85, AMOUNT: SGD2493335
[NET PROFIT DEFICIT] DAY: 88, AMOUNT: SGD7594347
[NET PROFIT DEFICIT] DAY: 89, AMOUNT: SGD1873899
[NET PROFIT DEFICIT] DAY: 90, AMOUNT: SGD695664
[HIGHEST NET PROFIT DEFICIT] DAY: 88, AMOUNT: SGD7594347
[2ND HIGHEST NET PROFIT DEFICIT] DAY: 69, AMOUNT: SGD2837010
[3RD HIGHEST NET PROFIT DEFICIT] DAY: 85, AMOUNT: SGD2493335
